19,August Hanning,1986,1990
20,August Hanning,1990,1996
4,August Hanning,1996,1998-12-16
3,August Hanning,1998-12-17,2005-11-30
6,August Hanning,2005-12-01,2009-11-10
6,Brigitte Zypries,1998,2002-10-22
6,Claus Henning Schapper,1998,2003
6,Cornelia Rogall-Grothe,2010-02,2015-08
24,Eckart Werthebach,1991-03-01,1995
6,Eckart Werthebach,1995,1998
6,Emily Haber,2014-01-13,today
4,Ernst Uhrlau,1999-01-01,2005-11-30
3,Ernst Uhrlau,2005-12-01,2011-12-07
23,Frank-Walter Steinmeier,2009-10-27,today
7,Frank-Walter Steinmeier,1998-11,1999-07-07
2,Frank-Walter Steinmeier,1999-07-07,2005-11-22
8,Frank-Walter Steinmeier,2005-11-22,2009-10-28
8,Frank-Walter Steinmeier,2013-12-17,today
5,Gerhard Schindler,2008,2011-12-31
3,Gerhard Schindler,2012-01-01,today
6,Göttrik Wewer,2003,2005
23,Guido Westerwelle,1996-02-08,2013-10-22
8,Guido Westerwelle,2009-10-28,2013-12-17
10,Günter Heiß,2007-02-01,2009-12-11
4,Günter Heiß,2010-01-01,today
6,Hans Bernhard Beus,2006,2006-10-01
6,Hans Bernhard Beus,2008-01,2010-01-31
6,Hans-Georg Engelke,2015-08,today
23,Hans-Peter Friedrich,1998-10-26,today
1,Hans-Peter Friedrich,2011-03-03,2013-12-17
21,Hans-Peter Friedrich,2013-12-17,2014-02-17
6,Johann Hahlen,2006-10-09,2007-12-28
8,Joschka Fischer,1998-10-27,2005-11-22
6,Klaus Vitt,2015-10-01,today
9,Klaus-Dieter Fritsche,1996,2005-11-30
4,Klaus-Dieter Fritsche,2005-12-01,2009-12-11
6,Klaus-Dieter Fritsche,2009-12-07,2014-01-13
7,Klaus-Dieter Fritsche,2014-01-13,today
6,Lutz Diwell,2003-01-10,2005-11-30
1,Otto Schily,1998-10-27,2005-11-22
23,Peter Altmaier,1994-11-10,today
15,Peter Altmaier,2012-05-22,2013-12-17
2,Peter Altmaier,2013-12-17,today
23,Ronald Pofalla,1990-12-20,2014-12-31
2,Ronald Pofalla,2009-10-28,2013-12-17
5,Stefan Kaller,2012,today
23,Thomas de Maizière,2009-10-27,today
18,Thomas de Maizière,1990-11,1994-12-08
17,Thomas de Maizière,1994-12-08,1998-11-02
16,Thomas de Maizière,1999-10-26,2001-01-30
14,Thomas de Maizière,2001-01-30,2002-05-02
13,Thomas de Maizière,2002-05-02,2004-11-11
12,Thomas de Maizière,2004-11-11,2005-11-22
2,Thomas de Maizière,2005-11-22,2009-10-28
1,Thomas de Maizière,2009-10-28,2011-03-03
11,Thomas de Maizière,2011-03-03,2013-12-17
1,Thomas de Maizière,2013-12-17,today
23,Wolfgang Schäuble,1972-12-13,today
2,Wolfgang Schäuble,1984-11-15,1989-04-21
1,Wolfgang Schäuble,1989-04-21,1991-11-26
1,Wolfgang Schäuble,2005-11-22,2009-10-28
22,Wolfgang Schäuble,2009-10-28,today
